english_meaning,arrernte_word,audio_url,all_audio_urls,,,,,,,,,,,,,,,,,
"flame, light",alkngenthe,https://arrernte-angkentye.online/ecall/audio/alkngenthe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngenthe_m.mp3,,,,,,,,,,,,,,,,,
cicada,alknginere,https://arrernte-angkentye.online/ecall/audio/alknginere_m.mp3,https://arrernte-angkentye.online/ecall/audio/alknginere_m.mp3,,,,,,,,,,,,,,,,,
tears,alkngultye,https://arrernte-angkentye.online/ecall/audio/alkngultye_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngultye_m.mp3,,,,,,,,,,,,,,,,,
tears,alknguntye,https://arrernte-angkentye.online/ecall/audio/alknguntye_m.mp3,https://arrernte-angkentye.online/ecall/audio/alknguntye_m.mp3,,,,,,,,,,,,,,,,,
"without noticing, not paying attention",alkngwe,https://arrernte-angkentye.online/ecall/audio/alkngwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngwe_m.mp3,,,,,,,,,,,,,,,,,
forget,alkngwirreme,https://arrernte-angkentye.online/ecall/audio/alkngwirreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngwirreme_m.mp3,,,,,,,,,,,,,,,,,
shield,alkwerte,https://arrernte-angkentye.online/ecall/audio/alkwerte_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkwerte_m.mp3,,,,,,,,,,,,,,,,,
"return, go back",alpeme,https://arrernte-angkentye.online/ecall/audio/alpeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alpeme_m.mp3,,,,,,,,,,,,,,,,,
bush tomato,alperrantyeye,https://arrernte-angkentye.online/ecall/audio/alperrantyeye.mp3,https://arrernte-angkentye.online/ecall/audio/alperrantyeye.mp3,,,,,,,,,,,,,,,,,
hot earth and ashes under fire for cooking in,alpmanthe,https://arrernte-angkentye.online/ecall/audio/alpmanthe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alpmanthe_m.mp3,,,,,,,,,,,,,,,,,
"hair, fur",alte,https://arrernte-angkentye.online/ecall/audio/alte_m.mp3,https://arrernte-angkentye.online/ecall/audio/alte_m.mp3,,,,,,,,,,,,,,,,,
"pluck stuff off yourself, shave",althelheme,https://arrernte-angkentye.online/ecall/audio/althelheme.mp3,https://arrernte-angkentye.online/ecall/audio/althelheme.mp3,,,,,,,,,,,,,,,,,
pluck stuff off something,altheme,https://arrernte-angkentye.online/ecall/audio/altheme.mp3,https://arrernte-angkentye.online/ecall/audio/altheme.mp3,,,,,,,,,,,,,,,,,
west,alturle,https://arrernte-angkentye.online/ecall/audio/alturle.mp3,https://arrernte-angkentye.online/ecall/audio/alturle.mp3,,,,,,,,,,,,,,,,,
female cross-cousin,altyele,https://arrernte-angkentye.online/ecall/audio/altyele_m.mp3,https://arrernte-angkentye.online/ecall/audio/altyele_m.mp3,,,,,,,,,,,,,,,,,
1. a dream. 2. Dreaming,altyerre,https://arrernte-angkentye.online/ecall/audio/altyerre.mp3,https://arrernte-angkentye.online/ecall/audio/altyerre.mp3,,,,,,,,,,,,,,,,,
to dream about,altyerre areme,https://arrernte-angkentye.online/ecall/audio/altyerre_areme_m.mp3,https://arrernte-angkentye.online/ecall/audio/altyerre_areme_m.mp3,,,,,,,,,,,,,,,,,
Dreaming,Altyerrenge,https://arrernte-angkentye.online/ecall/audio/altyerrenge.mp3,https://arrernte-angkentye.online/ecall/audio/altyerrenge.mp3,,,,,,,,,,,,,,,,,
"spill, pour out",altyiweme,https://arrernte-angkentye.online/ecall/audio/altyiweme_m.mp3,https://arrernte-angkentye.online/ecall/audio/altyiweme_m.mp3,,,,,,,,,,,,,,,,,
"hole, open",altywere,https://arrernte-angkentye.online/ecall/audio/altywere_m.mp3,https://arrernte-angkentye.online/ecall/audio/altywere_m.mp3,,,,,,,,,,,,,,,,,
"to open, turn on",altywere-ileme,https://arrernte-angkentye.online/ecall/audio/altywere-ileme_m.mp3,https://arrernte-angkentye.online/ecall/audio/altywere-ileme_m.mp3,,,,,,,,,,,,,,,,,
chase,alwerneme,https://arrernte-angkentye.online/ecall/audio/alwerneme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alwerneme_m.mp3,,,,,,,,,,,,,,,,,
boomerang,alye,https://arrernte-angkentye.online/ecall/audio/alye.mp3,https://arrernte-angkentye.online/ecall/audio/alye.mp3,,,,,,,,,,,,,,,,,
stone knife,alyweke,https://arrernte-angkentye.online/ecall/audio/alye.mp3,,,,,,,,,,,,,,,,,,
sing (a song),alyelheme,https://arrernte-angkentye.online/ecall/audio/alyelheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alyelheme_m.mp3,,,,,,,,,,,,,,,,,
sing (a person or thing),alyeme,https://arrernte-angkentye.online/ecall/audio/alyeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alyeme_m.mp3,,,,,,,,,,,,,,,,,
"wind something around, twist",alyerneme,https://arrernte-angkentye.online/ecall/audio/alyerneme.mp3,https://arrernte-angkentye.online/ecall/audio/alyerneme.mp3,,,,,,,,,,,,,,,,,
stone knife,alyweke,https://arrernte-angkentye.online/ecall/audio/alyweke.mp3,https://arrernte-angkentye.online/ecall/audio/alyweke.mp3,,,,,,,,,,,,,,,,,
elbow,amake,https://arrernte-angkentye.online/ecall/audio/amake_m.mp3,https://arrernte-angkentye.online/ecall/audio/amake_m.mp3,,,,,,,,,,,,,,,,,
fly (insect),amenge,https://arrernte-angkentye.online/ecall/audio/amenge.mp3,https://arrernte-angkentye.online/ecall/audio/amenge.mp3,,,,,,,,,,,,,,,,,
Amoonguna,Amengkwerne,https://arrernte-angkentye.online/ecall/audio/amengkwerne.mp3,https://arrernte-angkentye.online/ecall/audio/amengkwerne.mp3,,,,,,,,,,,,,,,,,
"woomera, spear-thrower",amirre,https://arrernte-angkentye.online/ecall/audio/amirre_m.mp3,https://arrernte-angkentye.online/ecall/audio/amirre_m.mp3,,,,,,,,,,,,,,,,,
Milky Way,amiwarre,https://arrernte-angkentye.online/ecall/audio/amiwarre_m.mp3,https://arrernte-angkentye.online/ecall/audio/amiwarre_m.mp3,,,,,,,,,,,,,,,,,
"woman's child, sister's child",ampatye,https://arrernte-angkentye.online/ecall/audio/ampatye_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampatye_m.mp3,,,,,,,,,,,,,,,,,
child,ampe,https://arrernte-angkentye.online/ecall/audio/ampe_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampe_m.mp3,,,,,,,,,,,,,,,,,
girl,ampe marle,https://arrernte-angkentye.online/ecall/audio/ampe_marle_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampe_marle_m.mp3,,,,,,,,,,,,,,,,,
boy,ampe urreye,https://arrernte-angkentye.online/ecall/audio/ampe_urreye_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampe_urreye_m.mp3,,,,,,,,,,,,,,,,,
"be upright against something, lean on, stick to",ampeke-aneme,https://arrernte-angkentye.online/ecall/audio/ampeke-aneme_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampeke-aneme_m.mp3,,,,,,,,,,,,,,,,,
burn,ampeme,https://arrernte-angkentye.online/ecall/audio/ampeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampeme_m.mp3,,,,,,,,,,,,,,,,,
leftovers,ampenye,https://arrernte-angkentye.online/ecall/audio/ampenye_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampenye_m.mp3,,,,,,,,,,,,,,,,,
knee,ampere,https://arrernte-angkentye.online/ecall/audio/ampere_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampere_m.mp3,,,,,,,,,,,,,,,,,
one of the eight skin names,Ampetyane,https://arrernte-angkentye.online/ecall/audio/ampetyane_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampetyane_m.mp3,,,,,,,,,,,,,,,,,
middle-aged or mature person,ampwe,https://arrernte-angkentye.online/ecall/audio/ampwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/ampwe_m.mp3,,,,,,,,,,,,,,,,,
arm,amulte,https://arrernte-angkentye.online/ecall/audio/amulte_m.mp3,https://arrernte-angkentye.online/ecall/audio/amulte_m.mp3,,,,,,,,,,,,,,,,,
shift to another place,aname-irreme,https://arrernte-angkentye.online/ecall/audio/aname-irreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/aname-irreme_m.mp3,,,,,,,,,,,,,,,,,
"bush potato, type of yam",anatye,https://arrernte-angkentye.online/ecall/audio/anatye_m.mp3,https://arrernte-angkentye.online/ecall/audio/anatye_m.mp3,,,,,,,,,,,,,,,,,
and [from English],ane,https://arrernte-angkentye.online/ecall/audio/ane.mp3,https://arrernte-angkentye.online/ecall/audio/ane.mp3,,,,,,,,,,,,,,,,,
"sit, live, be",aneme,https://arrernte-angkentye.online/ecall/audio/aneme_m.mp3,https://arrernte-angkentye.online/ecall/audio/aneme_m.mp3,,,,,,,,,,,,,,,,,
live (at a place),anepe-aneme,https://arrernte-angkentye.online/ecall/audio/anepe-aneme.mp3,https://arrernte-angkentye.online/ecall/audio/anepe-aneme.mp3,,,,,,,,,,,,,,,,,
"husband or wife, spouse",anewe,https://arrernte-angkentye.online/ecall/audio/anewe_m.mp3,https://arrernte-angkentye.online/ecall/audio/anewe_m.mp3,,,,,,,,,,,,,,,,,
