Native,AudioURL
anthwerrke,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3
Anthwerrke,https://arrernte-angkentye.online/ecall/audio/anthwerrke.mp3
antyeme,https://arrernte-angkentye.online/ecall/audio/antyeme.mp3
antyenye,https://arrernte-angkentye.online/ecall/audio/antyenye.mp3
antyerrke,https://arrernte-angkentye.online/ecall/audio/antyerrke.mp3
antyetyerre,https://arrernte-angkentye.online/ecall/audio/antyetyerre.mp3
antyeye,https://arrernte-angkentye.online/ecall/audio/antyeye.mp3
antyipere,https://arrernte-angkentye.online/ecall/audio/antyipere.mp3
antywe,https://arrernte-angkentye.online/ecall/audio/antywe.mp3
antyweme,https://arrernte-angkentye.online/ecall/audio/antyweme.mp3
anwerne,https://arrernte-angkentye.online/ecall/audio/anwerne.mp3
anwernenhe,https://arrernte-angkentye.online/ecall/audio/anwernenhe.mp3
anyente,https://arrernte-angkentye.online/ecall/audio/anyente.mp3
apaneme,https://arrernte-angkentye.online/ecall/audio/apaneme.mp3
aparlpe-ileme,https://arrernte-angkentye.online/ecall/audio/aparlpe-ileme.mp3
aparlpe-irreme,https://arrernte-angkentye.online/ecall/audio/aparlpe-irreme.mp3
aparre,https://arrernte-angkentye.online/ecall/audio/aparre.mp3
apaye-uthneme,https://arrernte-angkentye.online/ecall/audio/apaye-uthneme.mp3
apeke,https://arrernte-angkentye.online/ecall/audio/apeke.mp3
apekeme,https://arrernte-angkentye.online/ecall/audio/apekeme.mp3
apele,https://arrernte-angkentye.online/ecall/audio/apele.mp3
apelkere,https://arrernte-angkentye.online/ecall/audio/apelkere.mp3
apenteme,https://arrernte-angkentye.online/ecall/audio/apenteme.mp3
aperaltye,https://arrernte-angkentye.online/ecall/audio/aperaltye.mp3
apere,https://arrernte-angkentye.online/ecall/audio/apere.mp3
Apere Alwerrknge,https://arrernte-angkentye.online/ecall/audio/aperealwerrknge.mp3
aperle,https://arrernte-angkentye.online/ecall/audio/aperle.mp3
aperre,https://arrernte-angkentye.online/ecall/audio/aperre.mp3
aperrke,https://arrernte-angkentye.online/ecall/audio/aperrke.mp3
aperreme,https://arrernte-angkentye.online/ecall/audio/aperreme.mp3
aperteme,https://arrernte-angkentye.online/ecall/audio/aperteme.mp3
apethe,https://arrernte-angkentye.online/ecall/audio/apethe.mp3
apetye-alpeme,https://arrernte-angkentye.online/ecall/audio/apetye-alpeme.mp3
apetyeme,https://arrernte-angkentye.online/ecall/audio/apetyeme.mp3
apmere,https://arrernte-angkentye.online/ecall/audio/apmere.mp3
apmwe,https://arrernte-angkentye.online/ecall/audio/apmwe.mp3
apmwerrke,https://arrernte-angkentye.online/ecall/audio/apmwerrke.mp3
apure,https://arrernte-angkentye.online/ecall/audio/apure.mp3
apure-irreme,https://arrernte-angkentye.online/ecall/audio/apure-irreme.mp3
apurrke,https://arrernte-angkentye.online/ecall/audio/apurrke.mp3
apurrke-irreme,https://arrernte-angkentye.online/ecall/audio/apurrke-irreme.mp3
apurte,https://arrernte-angkentye.online/ecall/audio/apurte.mp3
apwape,https://arrernte-angkentye.online/ecall/audio/apwape.mp3
apwapwe,https://arrernte-angkentye.online/ecall/audio/apwapwe.mp3
apwelantye,https://arrernte-angkentye.online/ecall/audio/apwelantye.mp3
apwerte,https://arrernte-angkentye.online/ecall/audio/apwerte.mp3
apweteke,https://arrernte-angkentye.online/ecall/audio/apweteke.mp3
arelhe,https://arrernte-angkentye.online/ecall/audio/arelhe.mp3
